semana,fecha_inicio_semana,sku,descripcion,categoria,tiempo_entrega_semanas,costo_unitario_usd,demanda_cliente_final,pedido_retailer_a_distribuidor,pedido_distribuidor_a_fabrica,pedido_fabrica_a_proveedor,inventario_retailer,inventario_distribuidor,inventario_fabrica
32,2025-08-11,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,518,362,782,1068,1709,11186,20224
33,2025-08-18,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,497,347,104,163,1515,10943,20283
34,2025-08-25,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,444,439,1093,1539,1502,11597,20729
35,2025-09-01,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,465,443,132,166,1462,11286,20763
36,2025-09-08,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,390,387,937,1378,1436,11836,21204
37,2025-09-15,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,444,495,148,208,1456,11489,21264
38,2025-09-22,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,387,388,852,1362,1455,11953,21774
39,2025-09-29,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,402,401,120,167,1459,11672,21821
40,2025-10-06,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,400,439,988,1300,1492,12221,22133
41,2025-10-13,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,480,497,149,201,1505,11873,22185
42,2025-10-20,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,430,440,1056,1497,1558,12489,22626
43,2025-10-27,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,406,388,116,179,1492,12217,22689
44,2025-11-03,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,460,457,1042,1537,1535,12802,23184
45,2025-11-10,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,493,456,136,180,1535,12482,23228
46,2025-11-17,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,512,491,1172,1709,1530,13163,23765
47,2025-11-24,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,478,508,152,232,1597,12807,23845
48,2025-12-01,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,518,551,1402,2159,1647,13658,24602
49,2025-12-08,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,423,396,118,173,1602,13380,24657
50,2025-12-15,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,462,444,964,1266,1569,13900,24959
51,2025-12-22,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,563,620,186,273,1586,13466,25046
52,2025-12-29,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,556,540,1258,1832,1531,14184,25620
1,2025-01-06,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,382,393,117,164,1504,2724,8047
2,2025-01-13,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,494,476,1236,1882,1516,3484,8693
3,2025-01-20,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,439,482,144,220,1589,3146,8769
4,2025-01-27,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,487,495,1183,1785,1612,3834,9371
5,2025-02-03,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,405,383,114,175,1543,3565,9432
6,2025-02-10,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,488,461,1182,1763,1502,4286,10013
7,2025-02-17,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,473,461,138,199,1464,3963,10074
8,2025-02-24,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,433,441,1095,1409,1507,4617,10388
9,2025-03-03,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,484,503,150,222,1546,4264,10460
10,2025-03-10,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,515,532,1349,1877,1574,5081,10988
11,2025-03-17,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,456,434,130,196,1552,4777,11054
12,2025-03-24,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,482,452,1133,1443,1482,5458,11364
13,2025-03-31,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,446,474,142,192,1558,5126,11414
14,2025-04-07,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,429,476,1113,1762,1576,5763,12063
15,2025-04-14,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,447,414,124,166,1591,5473,12105
16,2025-04-21,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,504,548,1392,2205,1682,6317,12918
17,2025-04-28,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,456,450,135,185,1626,6002,12968
18,2025-05-05,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,557,567,1400,1963,1624,6835,13531
19,2025-05-12,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,502,558,167,254,1686,6444,13618
20,2025-05-19,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,438,442,991,1426,1727,6993,14053
21,2025-05-26,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,479,513,153,230,1790,6633,14130
22,2025-06-02,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,494,538,1222,1736,1798,7317,14644
23,2025-06-09,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,431,454,136,172,1786,6999,14680
24,2025-06-16,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,438,484,1084,1570,1788,7599,15166
25,2025-06-23,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,441,491,147,232,1869,7255,15251
26,2025-06-30,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,411,439,959,1351,1905,7775,15643
27,2025-07-07,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,365,344,103,131,1870,7534,15671
28,2025-07-14,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,420,430,1014,1411,1868,8118,16068
29,2025-07-21,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,409,440,132,179,1930,7810,16115
30,2025-07-28,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,494,568,1359,1901,2019,8601,16657
31,2025-08-04,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,607,698,1758,2811,2088,9661,17710
32,2025-08-11,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,378,264,661,919,1980,10058,17968
33,2025-08-18,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,324,226,67,93,1861,9899,17994
34,2025-08-25,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,383,384,902,1360,1905,10417,18452
35,2025-09-01,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,363,355,106,164,1864,10168,18510
36,2025-09-08,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,356,344,749,940,1880,10573,18701
37,2025-09-15,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,302,318,95,126,1882,10350,18732
38,2025-09-22,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,322,346,761,1062,1911,10765,19033
39,2025-09-29,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,363,399,119,189,1967,10485,19103
40,2025-10-06,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,383,428,969,1530,2024,11026,19664
41,2025-10-13,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,375,354,106,134,2009,10778,19692
42,2025-10-20,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,345,332,744,1133,1951,11190,20081
43,2025-10-27,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,378,364,109,156,1906,10935,20128
44,2025-11-03,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,402,449,1004,1394,1952,11490,20518
45,2025-11-10,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,377,414,124,175,1951,11200,20569
46,2025-11-17,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,377,363,871,1269,1900,11708,20967
47,2025-11-24,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,379,378,113,152,1877,11443,21006
48,2025-12-01,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,424,465,1204,1868,1876,12182,21670
49,2025-12-08,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,412,439,131,176,1931,11874,21715
50,2025-12-15,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,397,365,902,1142,1866,12411,21955
51,2025-12-22,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,394,429,128,182,1946,12110,22009
52,2025-12-29,SEM-FET-101,MOSFET N-Channel 60V 30A TO-220,Discretos,2,0.45,426,435,1117,1619,1944,12792,22511
1,2025-01-06,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,834,889,266,381,1584,2377,8115
2,2025-01-13,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,788,828,2105,3270,1614,3654,9280
3,2025-01-20,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,718,794,238,306,1666,3098,9348
4,2025-01-27,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,757,810,1807,2815,1726,4095,10356
5,2025-02-03,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,885,815,244,375,1658,3524,10487
6,2025-02-10,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,821,877,1957,3006,1741,4604,11536
7,2025-02-17,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,783,750,225,287,1684,4079,11598
8,2025-02-24,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,904,1009,2466,3306,1798,5536,12438
9,2025-03-03,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,826,762,228,319,1781,5002,12529
10,2025-03-10,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,812,802,1960,3089,1813,6160,13658
11,2025-03-17,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,824,885,265,419,1887,5540,13812
12,2025-03-24,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,899,954,2089,3036,1956,6675,14759
13,2025-03-31,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,825,865,259,377,2021,6069,14877
14,2025-04-07,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,997,922,2000,2726,1974,7147,15603
15,2025-04-14,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,823,757,227,296,1955,6617,15672
16,2025-04-21,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,908,1016,2389,3363,2051,7990,16646
17,2025-04-28,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,941,921,276,426,2027,7345,16796
18,2025-05-05,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,853,900,2209,2972,2104,8654,17559
19,2025-05-12,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,866,945,283,449,2151,7992,17725
20,2025-05-19,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,844,822,2139,2980,2116,9309,18566
21,2025-05-26,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,770,713,213,314,2020,8809,18667
22,2025-06-02,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,762,786,1864,2684,2053,9887,19487
23,2025-06-09,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,810,871,261,396,2109,9277,19622
24,2025-06-16,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,765,784,1699,2597,2121,10192,20520
25,2025-06-23,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,843,856,256,330,2100,9592,20594
26,2025-06-30,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,782,814,1848,2671,2129,10626,21417
27,2025-07-07,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,695,720,216,290,2191,10122,21491
28,2025-07-14,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,725,729,1897,2470,2165,11290,22064
29,2025-07-21,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,703,714,214,312,2157,10790,22162
30,2025-07-28,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,992,1140,2799,4240,2295,12449,23603
31,2025-08-04,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,1031,1185,2615,3490,2444,13879,24478
32,2025-08-11,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,647,452,1005,1431,2284,14432,24904
33,2025-08-18,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,635,444,133,202,2139,14121,24973
34,2025-08-25,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,599,613,1348,1850,2135,14856,25475
35,2025-09-01,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,628,618,185,294,2164,14423,25584
36,2025-09-08,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,703,743,1872,2471,2197,15552,26183
37,2025-09-15,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,657,697,209,263,2192,15064,26237
38,2025-09-22,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,599,624,1519,2057,2242,15959,26775
39,2025-09-29,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,660,713,213,291,2251,15459,26853
40,2025-10-06,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,675,710,1710,2495,2257,16459,27638
41,2025-10-13,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,750,768,230,346,2299,15921,27754
42,2025-10-20,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,611,650,1577,2330,2312,16848,28507
43,2025-10-27,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,636,709,212,289,2342,16351,28584
44,2025-11-03,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,682,746,1756,2221,2399,17361,29049
45,2025-11-10,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,760,733,219,350,2380,16847,29180
46,2025-11-17,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,701,736,1655,2462,2457,17766,29987
47,2025-11-24,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,614,668,200,262,2545,17298,30049
48,2025-12-01,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,679,723,1803,2522,2542,18378,30768
49,2025-12-08,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,762,777,233,335,2557,17834,30870
50,2025-12-15,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,770,797,1878,2824,2633,18915,31816
51,2025-12-22,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,642,666,199,312,2618,18448,31929
52,2025-12-29,SEM-FET-102,MOSFET P-Channel 30V 12A SO-8,Discretos,2,0.38,718,715,1694,2613,2661,19427,32848
1,2025-01-06,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,738,767,230,338,1492,2463,8108
2,2025-01-13,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,867,966,2165,3353,1581,3662,9296
3,2025-01-20,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,828,835,250,357,1626,3077,9403
4,2025-01-27,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,782,823,1812,2678,1705,4066,10269
5,2025-02-03,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,733,787,236,305,1753,3515,10338
6,2025-02-10,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,905,875,1982,3090,1686,4622,11446
7,2025-02-17,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,798,840,252,327,1682,4034,11521
8,2025-02-24,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,714,692,1686,2524,1673,5028,12359
9,2025-03-03,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,765,796,238,327,1729,4470,12448
10,2025-03-10,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,755,766,1945,2979,1717,5649,13482
11,2025-03-17,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,875,899,269,339,1768,5019,13552
12,2025-03-24,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,941,876,2101,3314,1681,6244,14765
13,2025-03-31,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,781,746,223,285,1628,5721,14827
14,2025-04-07,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,909,928,2021,2631,1649,6814,15437
15,2025-04-14,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,1000,923,276,376,1550,6167,15537
16,2025-04-21,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,845,924,2184,3124,1628,7427,16477
17,2025-04-28,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,883,834,250,324,1580,6843,16551
18,2025-05-05,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,705,747,1681,2497,1656,7777,17367
19,2025-05-12,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,857,864,259,402,1698,7172,17510
20,2025-05-19,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,785,762,1872,2981,1667,8282,18619
21,2025-05-26,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,816,851,255,396,1727,7686,18760
22,2025-06-02,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,935,881,2218,3485,1623,9023,20027
23,2025-06-09,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,834,832,249,368,1660,8440,20146
24,2025-06-16,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,709,701,1564,2286,1664,9303,20868
25,2025-06-23,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,763,834,250,380,1761,8719,20998
26,2025-06-30,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,773,755,1667,2463,1696,9631,21794
27,2025-07-07,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,802,860,258,394,1786,9029,21930
28,2025-07-14,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,760,831,1935,2619,1877,10133,22614
29,2025-07-21,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,640,677,203,281,1952,9659,22692
30,2025-07-28,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,913,1049,2547,3670,2072,11157,23815
31,2025-08-04,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,1170,1345,3280,4632,2199,13092,25167
32,2025-08-11,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,733,513,1233,1951,1994,13812,25885
33,2025-08-18,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,645,451,135,184,1761,13496,25934
34,2025-08-25,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,659,625,1498,2001,1776,14369,26437
35,2025-09-01,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,726,785,235,352,1827,13819,26554
36,2025-09-08,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,677,625,1405,1759,1771,14599,26908
37,2025-09-15,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,583,559,167,236,1715,14207,26977
38,2025-09-22,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,720,677,1610,2157,1673,15140,27524
39,2025-09-29,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,667,684,205,297,1675,14661,27616
40,2025-10-06,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,652,693,1621,2580,1755,15589,28575
41,2025-10-13,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,637,672,201,264,1752,15118,28638
42,2025-10-20,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,639,611,1400,2138,1734,15907,29376
43,2025-10-27,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,726,747,224,283,1751,15384,29435
44,2025-11-03,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,656,728,1769,2718,1858,16425,30384
45,2025-11-10,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,740,776,232,304,1885,15881,30456
46,2025-11-17,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,701,771,1787,2381,1941,16897,31050
47,2025-11-24,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,748,815,244,362,2046,16326,31168
48,2025-12-01,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,650,610,1488,2095,2024,17204,31775
49,2025-12-08,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,743,811,243,322,2122,16636,31854
50,2025-12-15,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,684,653,1502,1998,2111,17485,32350
51,2025-12-22,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,649,647,194,282,2083,17032,32438
52,2025-12-29,SEM-MEM-201,Memoria Flash SPI 64Mb 104MHz,Memorias,5,1.8,770,860,1910,2852,2189,18082,33380
1,2025-01-06,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,509,538,161,257,1538,2623,8096
2,2025-01-13,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,436,472,1147,1569,1555,3298,8518
3,2025-01-20,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,450,421,126,196,1478,3003,8588
4,2025-01-27,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,464,464,1078,1477,1495,3617,8987
5,2025-02-03,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,525,553,165,210,1504,3229,9032
6,2025-02-10,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,476,489,1249,1845,1510,3989,9628
7,2025-02-17,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,444,467,140,223,1484,3662,9711
8,2025-02-24,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,446,442,1152,1619,1437,4372,10178
9,2025-03-03,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,466,518,155,228,1485,4009,10251
10,2025-03-10,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,509,488,1171,1503,1468,4692,10583
11,2025-03-17,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,475,500,150,229,1458,4342,10662
12,2025-03-24,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,556,554,1226,1950,1410,5014,11386
13,2025-03-31,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,542,525,157,233,1426,4646,11462
14,2025-04-07,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,537,561,1234,1868,1432,5319,12096
15,2025-04-14,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,511,486,145,184,1392,4978,12135
16,2025-04-21,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,602,590,1344,1849,1414,5732,12640
17,2025-04-28,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,450,459,137,210,1434,5410,12713
18,2025-05-05,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,466,470,1142,1633,1422,6082,13204
19,2025-05-12,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,504,520,156,216,1399,5718,13264
20,2025-05-19,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,539,596,1318,2024,1440,6440,13970
21,2025-05-26,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,492,523,156,202,1427,6073,14016
22,2025-06-02,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,547,536,1177,1637,1431,6714,14476
23,2025-06-09,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,448,497,149,216,1439,6366,14543
24,2025-06-16,SEM-MEM-202,EEPROM I2C 256Kb SOIC-8,Memorias,3,0.65,436,472,1047,1624,1460,6941,15120
